mcmod_id,curseforge_slug,modrinth_slug,name,subname,abbr
135,,infinitubes,终极管道,InfiniTubes,
136,flatsigns,,平置牌子,FlatSigns,
137,switches,,按钮开关,Switches,
138,artifice,,工匠的手艺,Artifice,
139,,,模组139(获取失败),,
140,archimedes-ships,,阿基米德之舟,Archimedes' Ships,
141,cubebots,,立方体机器人,CubeBots,CB
142,truss-mod,,桁架,Truss Mod,
143,mutant-creatures-mod,,突变生物,Mutant Creatures,
144,,,魔能2,Minegicka II,
145,logistics-pipes,,物流管道,Logistics Pipes,LP
146,binnies-mods,,更多树,Extra Trees,
147,,,模组147(获取失败),,
148,magic-bees,,魔法蜜蜂,Magic Bees,MB
149,carpenters-blocks,,木匠方块,Carpenter's Blocks,
150,mystcraft,mystcraft,神秘岛,Mystcraft,
151,,,牛仔帽,Cowboy Hat Mod,
152,,,英文显示默认字体,FontsFix,
153,,,达特工艺,DartCraft,DC
154,minesweeper-mod,,扫雷,Minesweeper,
155,minechess,,国际象棋,MineChess,
156,,,职业,MineCharacter,
157,,,细菌,Bacteria,
158,,,贝爷,BearGrylls,BG
159,,factorization,工厂化/因式分解,Factorization,FZ
160,,,我的幻想,MineFantasy,MF
161,,,机关,UgoCraft,
162,,,真彩色羊毛,Full RGB Colored Wool,
163,,,你是苦力怕,You Are The Creeper,YATC
164,project-red-base,,红石计划,ProjectRed,PR
165,,,开放式经验,OpenXP,
166,dimensionaldoors,dimensionaldoors,次元门,Dimensional Doors,
167,chickenchunks,chicken-chunks,区块载入器,ChickenChunks,
168,dlt2,,动态蓄水槽,Dynamic Liquid Tanks,DLT
169,,,海绵科技,Technical Vanilla,
170,webdisplays-remasterd,,内置网页浏览器,WebDisplays,WD
171,morph,,变身,Morph,
172,,,自定义旗帜,Custom Flags,
173,,,泰拉瑞亚3D,Terraria 3D,T3D
174,extracells2,,更多存储单元2,Extra Cells 2,EC2
175,,,渲染图片导出,Item Render,IR
176,,,齐柏林,Zeppelin,
177,billund-223258,,乐高,Billund,
178,alchemyplusplus,,炼金++,AlchemyPlusPlus,
179,better-bows,,更好弓箭系统,Better Archery,
180,mumblelink,,Mumble语音链接,Mumblelink,
181,ender-io,enderio,末影接口,Ender IO,EIO
182,,,模组182(获取失败),,
183,,,模组183(获取失败),,
184,,,等级存储,LevelStorage,
185,electrodynamics,electrodynamics,电动力学,Electrodynamics,
186,elite-armageddon,,Elite Armageddon / Solar Apocalypse,,
187,mekanism,mekanism,通用机械,Mekanism,Mek
188,,,吹熄火焰！,Blow Me!,
189,,,梦短人生长/真实睡眠,Somnia,
190,magic-crusade-rpg-mod,,魔法远征:魔法十字军,Magic Crusade,
191,invasions,,入侵,Invasion,
192,mb-battlegear-2,,挖矿与砍杀：双持与战备 2,Mine & Blade: Battlegear 2,
193,,,青蛙化工,FrogCraft,FC
194,galacticraft-legacy,galacticraft-legacy,星系,GalactiCraft,GC
195,,,地牢拓展,DungeonPack,
196,,,小方块,Little Blocks,
197,,,自定义物品2,Custom Stuff 2,CS2
198,journeymap,journeymap,旅行地图,JourneyMap,JM
199,,,线程优化,TickThreading,
200,,,模组200(获取失败),,
201,underground-biomes,,科学地质,Underground Biomes,UB
202,fpsplus-lagfixes,,FPS优化,FPS Plus,
203,ars-magica-2,,魔法艺术2,Ars Magica 2,AM2
204,thaumcraft,,神秘时代4,Thaumcraft 4,TC4
205,highlands,,高地,Highlands,
206,doggy-talents,,小狗天才,Doggy Talents,DT
207,plasmacraft,,电浆工艺,PlasmaCraft,PC
208,,,更多生命,More Health ENHANCED,
209,fossils,fossils-and-archeology-revival,考古与化石,Fossils and Archeology Revival,F/A
210,glenns-gases,,格林的气体,Glenn's Gases,
211,the-lord-of-the-rings-mod-legacy,,魔戒：传承,The Lord of the Rings Mod: Legacy,LotR
212,thaumic-tinkerer,,神秘工匠,Thaumic Tinkerer,TT
213,,,古生代,Paleocraft,
214,metallurgy,,冶金3,MetallurgyIII,
215,,,模组215(获取失败),,
216,xycraft,,XyCraft,,
217,chococraft,chococraft,陆行鸟,ChocoCraft,
218,pams-harvestcraft,pams-harvestcraft,潘马斯农场,Pam's HarvestCraft,PHC
219,blood-magic,blood-magic,血魔法,Blood Magic,BM
220,opis,,Opis,,
221,,,世界树/巨树,Yggdrasill,
222,openblocks,,开放式方块,OpenBlocks,OB
223,,,微型矿车,TinyCarts,
224,water-power,,水力科技,Water Power,WP
225,,,冒险,AdventureCraft,AC
226,,,MC实在是太简单了,Minecraft Is Too Easy,MITE
227,randomcraft-v0-1-0,,随机工艺,RandomCraft,
228,dragon-mounts,,龙坐骑/龙骑士,Dragon Mounts,DM
229,animal-bikes,,动物坐骑,Animal Bikes,AB
230,,,更好的草地和树叶,Better Grass & Leaves,
231,,,模组231(获取失败),,
232,electro-magic-tools,,电力魔法工具,Electro-Magic Tools,EMT
233,forbidden-magic,,禁忌魔法,Forbidden Magic,FM
234,mobtalker2,,怪物交谈2,MobTalker 2,
235,icbm-classic,,洲际导弹,ICBM,ICBM
236,thaumic-infusion,,神秘注魔,Thaumic Infusion,TI
237,thaumic-exploration,,神秘探险,Thaumic Exploration,TX
238,deconstruction-table,,解构工作台,Deconstruction Table,
239,,,模组239(获取失败),,
240,,,岩浆工具,The Magma Items,
241,kcs-growable-ores,,可生长矿石,Kc's Growable Ores,BGO
242,,,基础ID修复工具,Idfix,
243,,,高级ID修复工具,IdfixMinus,
244,,,远陆时代2,Far Land Era2,FLE2
245,,,高效率引擎,Compact Engine,
246,waila,,高亮信息拓展,What am I looking at,Waila
247,chaoscraft-2,,混沌工艺,ChaosCraft,CC
248,scenter-mod,,矿物追踪,Scenter,
249,,,御宅工艺,Otaku Craft,OtC
250,ex-nihilo,,无中生有,Ex Nihilo,ExN
251,reactorcraft,,反应堆工艺,ReactorCraft,ReC
252,bctools,,BC扩展：更多工具,Buildcraft Tools,
253,additional-buildcraft-objects,,更多管道,Additional Buildcraft Objects,ABO
254,foundry,,金属工坊,Foundry,
255,gravitation-suite,,重力装甲,Gravitation Suite,
256,redstone-arsenal,redstone-arsenal,红石兵工厂,Redstone Arsenal,RSA
257,big-reactors,,大型反应堆,Big Reactors,BR
258,,,谐振感应,Resonant Induction,RI
259,endertanks,endertanks,末影水槽,Ender Tanks,
260,applied-energistics-2,ae2,应用能源2,Applied Energistics 2,AE2
261,hopper-ducts,,漏斗管道,Hopper Ducts,
262,autofish,,自动钓鱼,Autofish,
263,mrcrayfish-furniture-mod,,MrCrayfish 的家具,MrCrayfish's Furniture Mod,CFM
264,wireless-redstone-cbe,,无线红石,Wireless Redstone,WR-CBE
265,,,终极农业,Agent's Agriculture,
266,,,异次元物品存储,Extradimensional Item Storage,EIS
267,per-fabrica-ad-astra-geologica,,自合成至星辰：真实地理,Per Fabrica Ad Astra: Geologica,PFAA
268,,,更好的矿物挖掘,Better Mining,BM
269,redstone-furnace,,红石炉,Redstone Furnace,
270,pneumaticcraft,pneumaticcraft-repressurized,气动工艺,PneumaticCraft: Repressurized,PnC
271,,,能源转换器,Transducers,
272,thirst-mod,,饮水,Thirst Mod,
273,tubes,,管道,Tubes!,
274,pchan3-steamship-steamboat-pirates,,飞艇与汽船,SteamShip - SteamBoat and Pirates,PChan3
275,,,模块化动力套装扩展,Modular Powersuits Addons,MPSA
276,betterfarming,,农业增强,Better Farming,
277,,,IC扩展：高级工具,Advanced Tools,
278,lots-of-food,,更多食物,Lots of Food,
279,,,食物Plus,Food Plus,
280,,,模组280(获取失败),,
281,aquaculture,aquaculture,水产业2/水产品2,Aquaculture 2,
282,,,高级工作台,Project Bench,
283,,,扩展工作台,Extended Workbench,
284,apples-plus,,更多苹果,Apples+,
285,,,啤酒,Beer Mod,
286,qcraft,,量子物理,QCraft,QC
287,,,末影工艺,EnderCraft,
288,mad-science,,疯狂科学,Mad Science,
289,,,采石场增强,Quarry Plus,
290,enviromine,,更多生存要素,EnviroMine,
291,,,群峦扩展,ExtraFirma,EF
292,the-erebus,,混沌之地,The Erebus,
293,emerald-mod,,绿宝石 Mod,Emerald Mod,
294,lucky-block-official,,幸运方块,Lucky Block,LB
295,dynamic-lights,,动态光源,Dynamic Lights,DL
296,yarr-cute-mob-models-remake,,怪物娘化,Yarr Cute Mob Models - Remake,
297,monster-hunter-frontier-craft,,怪物猎人边境工艺,Monster Hunter Frontier Craft,MHFC
298,zombie-awareness,zombie-awareness,僵尸意识,Zombie Awareness,ZA
299,remote-io,,远程接口,Remote IO,RIO
300,electrical-age,,电力时代,Electrical Age,ELN
301,,,可升级机器,Upgradable Machines,
302,,,电力转换,Power Utilites,
303,minor-alchemy,,小型炼金术,Minor Alchemy,MA
304,,,更多TNT,TooMuchTNT,
305,,,更多爆炸物,More Explosives Mod,
306,,,生物病毒,MineInfection,
307,,,高级能量工具,Advanced Flux Tools,
308,,,自然工艺,Natural Craft,NC
309,mcicraft,,MCI工艺,MCI Craft,
310,,,能源操纵,Energy Manipulation,
311,,,手电与照明,Lanterns and Flashlights,
312,engineers-toolbox,,工程师工具箱,Engineer's Toolbox,
313,e-tools-redstone-powered-tools,,电子工具：红石供电工具,E-Tools: Redstone Powered Tools,
314,,,应用热力学,Applied Thermodynamics,
315,modular-systems,,模块化系统,Modular Systems,
316,,,原子科技,Atomicraft,
317,traincraft,,火车工业,Traincraft,TC
318,hydraulicraft,,液压工艺,Hydraulicraft,HC
319,utilities3,,流体能量,Utilities³,
320,,,科学,The Science Mod,TSM
321,,,和平工艺,InspiritCraft,
322,metallurgy,,冶金4,Metallurgy 4,ML4
323,,,模组323(获取失败),,
324,school-mod-forge-1-14,,学校,School Mod,
325,witchery,,巫术,Witchery,
326,growthcraft,,生长工艺,GrowthCraft,GrC
327,gregtech-5-unofficial,,格雷科技5,GregTech 5,GT5
328,,,模组328(获取失败),,
329,mantle,mantle,地幔,Mantle,
330,customoregen,,自定义矿物生成,Custom Ore Generation,COG
331,littlemaidmobx,,女仆,LittleMaidMob,LMM
332,botania,botania,植物魔法,Botania,BOT
333,alternate-terrain-generation,,交替性地形生成,Alternate Terrain Generation,ATG
334,gendustry,,基因工业,Gendustry,
335,,,模组335(获取失败),,
336,,,更多的配方,NotEnoughRecipes,NER
337,,,十字弩2,Crossbow2,
338,,,超级马里奥,SuperMario,
339,betterfonts,,更好的字体,BetterFonts,
340,zelda-sword-skills,,塞尔达剑技,ZELDA SWORD SKILLS,ZSS
341,,,模组341(获取失败),,
342,minemenu,,我的菜单,MineMenu,
343,symcalc,,对称度运算仪,Symcalc,
344,,,枫树,MapleTree,MT
345,,,匠魂强化,TiC Tweaks,
346,jabba,,更好的储物桶,Just Another Better Barrel Attempt,JABBA
347,mcheli-minecraft-helicopter-mod,,MC直升机,MC Helicopter Mod,MCheli
348,ex-aliquo,,Ex Aliquo,,
349,,,模组349(获取失败),,
350,steves-carts-2,,史蒂夫矿车2,Steve's Carts 2,SC2
351,mariculture,,海洋物语,Mariculture,
352,evilcraft,evilcraft,邪恶工艺,EvilCraft,EC
353,projecte,,等价交换重制版,ProjectE,PE
354,falling-meteors-mod,,陨石,Falling Meteors,
355,,,模组355(获取失败),,
356,,,模组356(获取失败),,
357,thermal-expansion,,热力膨胀4,Thermal Expansion 4,TE4
358,,,控制包/更方便快捷的控制,ControlPack,CP
359,,,模组359(获取失败),,
360,glacia-dimension,,冰河时代,Glacia,
361,water-power,,水力科技,Water Power,WP
362,realtrainmod,,真实火车,RealTrainMod,RTM
363,applemilktea2,,苹果奶茶2,AppleMilkTea2,AMT2
364,,,我的房屋,iHouse,
365,flaxbeards-steam-power,flaxbeards-steam-power,FSP蒸汽动力,Flaxbeard's Steam Power,FSP
366,slashblade,,拔刀剑,SlashBlade,
367,steves-factory-manager,,史蒂夫工厂管理,Steve's Factory Manager,SFM
368,,,模组368(获取失败),,
369,,,神秘管道,Thaumic Pipes,
370,thaumcraftgates,,奥法管道,ThaumcraftGates,
371,thaumcraft-recipes,,神秘合成,Thaumcraft Recipes,
372,player-heads-forge,,玩家死亡掉头,Player Heads,
373,notenoughkeys,,更好的按键控制,Not Enough Keys,NEK
374,,,更深的雪,Snow Deeper,
375,pet-bats,,宠物蝙蝠,Pet Bats,
376,,,光桥和门,Light Bridges and Doors,
377,crafting-pillar-mod,,合成柱,Crafting Pillar Mod,CPM
378,ultratech,,次元科技,UltraTech,UT
379,,advanced-repulsion-systems,高级排斥系统,Advanced Repulsion Systems,ARS
380,atomicstrykers-infernal-mobs,,稀有精英怪,AtomicStryker's Infernal Mobs,
381,applecore,,苹果核,AppleCore,
382,,,模组382(获取失败),,
383,pchan3-steamship-steamboat-pirates,,飞艇与汽船,SteamShip - SteamBoat and Pirates,PChan3
384,,,模组384(获取失败),,
385,thaumic-energistics,,神秘能源,Thaumic Energistics,
386,,,豆腐工艺,TofuCraft,
387,chisel,,凿子,Chisel,
388,nuclearcraft-mod,nuclearcraft,核电工艺,NuclearCraft,NC
389,opencomputers,opencomputers,开放式电脑,Open Computers,OC
390,elemental-stones,,元素之石,Elemental Stones,ES
391,,,模组391(获取失败),,
392,waila-nbt,,万用高亮显示,Waila NBT,
393,thaumcraft-node-tracker,,神秘节点追踪,Thaumcraft Node Tracker,
394,geochests,,箱载世界,Geochests,
395,parachutemod,,降落伞,Parachute,
396,gem-buffs-infinite-potion-effects,,宝石效果/增益宝石,Gem Buffs,GB
397,rftools,rftools,RF工具箱,RFTools,
398,atomicstrykers-magic-yarn,,AtomicStryker的魔法线,AtomicStryker's Magic Yarn,
399,grimoire-of-gaia,grimoire-of-gaia,盖亚魔典3,Grimoire of Gaia 3,GOG3
400,teds-old-world-gen-mod,,怀旧地形,Old World Gen,OWG
401,advent-of-ascension-nevermine,,虚无世界2,Nevermine 2,AoA2
402,academycraft,,超能力/学园都市,AcademyCraft,AC
403,,,模组403(获取失败),,
404,the-spice-of-life,,生活调味料,The Spice of Life,SOL
405,,,更好的载入界面,Minecraft Loader,
406,,,模组406(获取失败),,
407,automagy,,自动化魔法,Automagy,
408,storage-drawers,storagedrawers,储物抽屉,Storage Drawers,
409,wintercraft-gruntpie224,,冬天的世界,Wintercraft,
410,,,食物工艺,FoodCraft,FC
411,,,缝合玻璃,Pane In The Glasses,
412,shincollecraft,,深海舰队收藏,ShinColle,
413,,,猫之手,猫の手 ～Hand of Cats～,
414,unicode-font-fixer,,Unicode字体修复,UnicodeFontFixer,UFF
415,lanteacraft,,星际之门,LanteaCraft,
416,matteroverdrive-17-edition,,超能物质,Matter Overdrive,MO
417,tainted-magic,,污秽魔法,Tainted Magic,TM
418,minetweaker3,,MineTweaker 3,,MT
419,treecapitator,,砍树,Treecapitator,
420,insta-house,,即时建造,Insta House,
421,multi-page-chest,,多页箱子,Multi-Page Chest,MPC
422,,,模组422(获取失败),,
423,draconic-evolution,draconic-evolution,龙之进化/龙之研究,Draconic Evolution,DE
424,galacticraft-add-on-more-planets,more-planets,更多行星,More Planets,
425,thermal-foundation,thermal-foundation,热力基本,Thermal Foundation,TF
426,,,多姿多彩的生存,Colourful Survival Mod,
427,,,基岩破坏法杖,Bedrock Breaker,
428,ding,ding,界面进入提醒,Ding,
429,ender-utilities,ender-utilities,末影设备,Ender Utilities,
430,magical-crops,,魔法作物,Magical Crops,
431,headcrumbs,,更多头颅,Headcrumbs,
432,ex-astris,,星辉生万物,Ex Astris,EA
433,xelitez-frostcraft,,冰冻工艺,FrostCraft,
434,,hardcore-ender-expansion,极限末地生存,Hardcore Ender Expansion,HEE
435,more-fun-quicksand-mod,,更多流沙,More Fun Quicksand Mod,MFQM
436,fastcraft,,快速工艺,FastCraft,
437,forgeautoshutdown-1-12-2,forgeautoshutdown,Forge Auto Shutdown,,
438,,,行动助手,Movement Assistant,
439,sao-ui,,刀剑神域UI,Sword Art Online UI / SAO UI,SAOUI
440,extratic,,匠魂扩展,Extra TiC,
441,dimensional-pockets,,四次元口袋,DimensionalPockets,DP
442,joint-block-1-7-10,,机器方块,JointBlock,
443,security-craft,security-craft,安全工艺,Security Craft,SC
444,buildcraft-additions,,建筑扩充,Buildcraft Additions,
445,,,基岩工艺,Bedrockium Mod,BE
446,blocksteps,,Blocksteps,,
447,thaumic-horizons,thaumic-horizons,神秘视界,Thaumic Horizons,TH
448,modtweaker,modtweaker,ModTweaker,,MoT
449,lootbags,,战利品,Loot Bags,LB
450,compact-lava-generator,,高级地热发电机,Compact Lava Generator,CLG
451,project-zulu,,祖鲁,Project Zulu,PZ
452,,,许多生物,LotsOMobs,LOM
453,chinacraft,,华夏文明,ChinaCraft,CC
454,thaumcraft,,神秘时代5,Thaumcraft 5,TC5
455,,,格雷科技6,GregTech 6,GT6
456,betterbeginnings-mod,,更好的开局,Better Beginnings,BB
457,utility-mobs,,工具怪物,Utility Mobs,
458,hunger-overhaul,,饥饿改革,Hunger Overhaul,HO
459,jei,jei,JEI物品管理器,Just Enough Items,JEI
460,jeiaddons,,JEI Addons,,
461,magneticraft,,磁场工艺,MagnetiCraft,MAGC
462,chromaticraft,,缤纷纪元,ChromatiCraft,ChC
463,immersive-engineering,immersiveengineering,沉浸工程,Immersive Engineering,IE
464,armourers-workshop,armourers-workshop,时装工坊,Armourer's Workshop,
465,plants-to-ores,,植物矿石,Plants To Ores,
466,slash,,命令强化,Slash,
467,et-futurum,,把未来带回现实,Et Futurum,
468,cooking-for-blockheads,cooking-for-blockheads,傻瓜烹饪/懒人厨房,Cooking for Blockheads,
469,,,不要饿死,No Starve To Death,
470,psi,psi,Psi,,
471,good-nights-sleep,,夜眠梦境/晚安的梦境,Good Night's Sleep,GNS
472,binnies-mods,binnies-mods,Binnie's Mods,,
473,baubles,,饰品栏,Baubles,
474,more-swords-mod,more-swords-mod,更多剑,MoreSwords,
475,thaumic-bases,,神秘基础学,Thaumic Bases,TB
476,essentialcraft-3,,源质魔法3,EssentialCraft 3,EC3
477,,,和风,和風,Wa
478,hardcore-questing-mode,hqm,困难任务,Hardcore Questing Mode,HQM
479,unidict,unidict,矿辞统一,UniDict,UD
480,thermal-dynamics,thermal-dynamics,热动力学,Thermal Dynamics,TD
481,zoology,,动物学,Zoology,
482,,,植物世界,Plant Mega Pack,PMP
483,thaumic-revelations,,神秘启示录,Thaumic Revelations,
484,,,更多燃料,MoreFuel,
485,warp-book,,传送书,Warp Book,WB
486,ex-compressum,ex-compressum,压缩工具,Ex Compressum,
487,simply-jetpacks,,简易喷气背包,Simply Jetpacks,SJ
488,blood-arsenal,,血液兵工厂,Blood Arsenal,
489,sim-u-kraft-old,,模拟城市,Sim-U-Kraft,
490,superheroes-unlimited,,超级英雄无限,Superheroes Unlimited,SU
491,oceancraft-mod,,海洋世界,Oceancraft,
492,,,能源链接,BC-IC2 Crossover,
493,more-enchantments-legacy,,更多附魔,More Enchantments,
494,witching-gadgets,,巫师宝具,Witching Gadgets,WG
495,,,模组495(获取失败),,
496,buildcraft-compat,buildcraft-compat,建筑兼容,Buildcraft Compat,
497,extrabotany,,额外植物学,ExtraBotany,EXBOT
498,botania-unofficial,,植物魔法非官方版,Botania Unoffical,
499,angry-pixel-the-betweenlands-mod,,交错次元,The Betweenlands,TBL
500,real-first-person-render,,真实的第一人称,Real First Person 2,
501,,,丹药笔记,PillNote,PN
502,,,TW-信息,TW-Info,TW-Info
503,custom-stuff-3,,自定义物品3,Custom Stuff 3,CS3
504,lockdown,,地图生成锁定,Lockdown,
505,avaritia,,无尽贪婪,Avaritia,
506,minecraft-flight-simulator,immersive-vehicles-official-content-pack,飞行模拟,Minecraft Flight Simulator,MFS
507,essential-thaumaturgy,,源质神秘学,Essential Thaumaturgy,
508,abyssalcraft,,深渊国度,AbyssalCraft,AC
509,calculator,,运算工艺,Calculator,CC
510,sextiarysector2,,Sextiary Sector 2,,SS2
511,warpdrive,,曲率驱动,WarpDrive,WD
512,futurepack,futurepack,飞向未来,Futurepack Mod,FP
513,hbms-nuclear-tech-mod,ntm,HBM的核科技,HBM's Nuclear Tech Mod,NTM/HBM
514,agricraft,agricraft,农业工艺,AgriCraft,AC
515,arcane-engineering,,奥法工程学,Arcane Engineering,
516,immersive-integration,,Immersive Integration,,
517,ae2-stuff,,AE2 Stuff,,
518,minetweaker-recipemaker,,可视化合成表编辑器,MineTweaker RecipeMaker,MTRM
519,thaumic-dyes,,神秘染料,Thaumic Dyes,
520,gadomancy,,魔像秘经,Gadomancy,
521,inventory-pets,,背包宠物,Inventory Pets,
522,levels,,装备等级,Levels,
523,keeping-inventory,,Keeping Inventory,,
524,orespawn,,矿石菌种,OreSpawn,OS
525,reliquary-reincarnations,reliquary-reincarnations,圣遗物,Reliquary Reincarnations (Reliquary) / Xeno's Reliquary,
526,mo-bends,,更多弯曲,Mo' Bends,
527,quark,quark,夸克,Quark,
528,blood-magic,blood-magic,血魔法2,Blood Magic 2,BM2
529,official-divinerpg,divinerpg,神圣RPG,DivineRPG,DRPG
